,Rank,Similar Score,Lean,Similar District
0,,71,—,MS-2
1,,70,—,SC-6
2,,58,—,NC-1
3,,54,—,TN-9
4,,51,—,LA-2
5,,50,—,FL-5
6,,49,—,GA-2
7,,44,—,GA-13
8,,39,—,GA-4
9,,33,—,VA-3
10,,63,—,CA-11
11,,60,—,CA-6
12,,59,—,CA-30
13,,57,—,CA-28
14,,57,—,CA-20
15,,53,—,CA-2
16,,53,—,OR-3
17,,53,—,CA-47
18,,50,—,CO-1
19,,50,—,CA-19
20,,73,—,CO-5
21,,63,R+9.0,CO-3
22,,61,R+6.5,CA-4
23,,60,R+19.3,NV-2
24,,60,—,TX-25
25,,57,R+35.0,ID-2
26,,56,R+7.0,ID-1
27,,56,R+4.7,CA-50
28,,56,R+6.9,WA-5
29,,55,—,CA-1
30,,67,—,FL-4
31,,66,—,TN-4
32,,65,—,LA-1
33,,65,—,FL-2
34,,65,—,TN-7
35,,64,—,GA-3
36,,62,—,TN-2
37,,61,—,LA-6
38,,59,R+12.4,MS-4
39,,59,—,FL-3
40,,77,—,GA-14
41,,73,—,TX-4
42,,71,—,TN-6
43,,66,—,TN-1
44,,65,—,AL-4
45,,61,—,TN-4
46,,60,—,TX-1
47,,59,—,SC-3
48,,57,—,TN-7
49,,57,R+13.3,OK-2
50,,70,—,MI-5
51,,68,R+6.9,IL-12
52,,68,D+8.8,IA-1
53,,67,D+13.5,PA-8
54,,65,R+14.6,IL-16
55,,65,—,WI-3
56,,63,R+5.4,IL-13
57,,63,—,OH-13
58,,62,—,OH-10
59,,61,D+13.3,IA-2
60,,83,R+13.7,IN-3
61,,82,R+7.6,IN-9
62,,78,—,OH-8
63,,77,—,MO-6
64,,75,—,MO-4
65,,75,—,IN-8
66,,74,—,IN-6
67,,73,—,IL-18
68,,72,—,OH-5
69,,72,R+24.6,OH-4
70,,81,D+38.9,VT at large
71,,67,D+17.8,NH-2
72,,59,—,CT-2
73,,58,—,MA-9
74,,58,D+7.2,NH-1
75,,57,R+13.8,NY-24
76,,57,—,NY-20
77,,55,D+1.5,NY-19
78,,52,—,MA-2
79,,48,—,MA-1
80,,66,—,NJ-1
81,,64,—,PA-5
82,,63,—,MD-3
83,,61,D+16.3,DE at large
84,,57,—,MD-5
85,,56,D+12.8,NY-25
86,,54,—,NY-26
87,,54,—,CT-1
88,,53,—,VA-4
89,,52,—,PA-18
90,,72,—,MA-4
91,,71,—,MA-6
92,,65,—,NY-17
93,,63,—,MA-3
94,,63,—,MA-5
95,,59,—,RI-1
96,,59,—,CT-3
97,,59,—,NJ-12
98,,56,—,CT-4
99,,56,—,CT-1
