,Rank,Similar Score,Lean,Similar District,RANKING
0,,71,—,MS-2,1
1,,70,—,SC-6,2
2,,58,—,NC-1,3
3,,54,—,TN-9,4
4,,51,—,LA-2,5
5,,50,—,FL-5,6
6,,49,—,GA-2,7
7,,44,—,GA-13,8
8,,39,—,GA-4,9
9,,33,—,VA-3,10
10,,63,—,CA-11,1
11,,60,—,CA-6,2
12,,59,—,CA-30,3
13,,57,—,CA-28,4
14,,57,—,CA-20,5
15,,53,—,CA-2,6
16,,53,—,OR-3,7
17,,53,—,CA-47,8
18,,50,—,CO-1,9
19,,50,—,CA-19,10
20,,73,—,CO-5,1
21,,63,R+9.0,CO-3,2
22,,61,R+6.5,CA-4,3
23,,60,R+19.3,NV-2,4
24,,60,—,TX-25,5
25,,57,R+35.0,ID-2,6
26,,56,R+7.0,ID-1,7
27,,56,R+4.7,CA-50,8
28,,56,R+6.9,WA-5,9
29,,55,—,CA-1,10
30,,67,—,FL-4,1
31,,66,—,TN-4,2
32,,65,—,LA-1,3
33,,65,—,FL-2,4
34,,65,—,TN-7,5
35,,64,—,GA-3,6
36,,62,—,TN-2,7
37,,61,—,LA-6,8
38,,59,R+12.4,MS-4,9
39,,59,—,FL-3,10
40,,77,—,GA-14,1
41,,73,—,TX-4,2
42,,71,—,TN-6,3
43,,66,—,TN-1,4
44,,65,—,AL-4,5
45,,61,—,TN-4,6
46,,60,—,TX-1,7
47,,59,—,SC-3,8
48,,57,—,TN-7,9
49,,57,R+13.3,OK-2,10
50,,70,—,MI-5,1
51,,68,R+6.9,IL-12,2
52,,68,D+8.8,IA-1,3
53,,67,D+13.5,PA-8,4
54,,65,R+14.6,IL-16,5
55,,65,—,WI-3,6
56,,63,R+5.4,IL-13,7
57,,63,—,OH-13,8
58,,62,—,OH-10,9
59,,61,D+13.3,IA-2,10
60,,83,R+13.7,IN-3,1
61,,82,R+7.6,IN-9,2
62,,78,—,OH-8,3
63,,77,—,MO-6,4
64,,75,—,MO-4,5
65,,75,—,IN-8,6
66,,74,—,IN-6,7
67,,73,—,IL-18,8
68,,72,—,OH-5,9
69,,72,R+24.6,OH-4,10
70,,81,D+38.9,VT at large,1
71,,67,D+17.8,NH-2,2
72,,59,—,CT-2,3
73,,58,—,MA-9,4
74,,58,D+7.2,NH-1,5
75,,57,R+13.8,NY-24,6
76,,57,—,NY-20,7
77,,55,D+1.5,NY-19,8
78,,52,—,MA-2,9
79,,48,—,MA-1,10
80,,66,—,NJ-1,1
81,,64,—,PA-5,2
82,,63,—,MD-3,3
83,,61,D+16.3,DE at large,4
84,,57,—,MD-5,5
85,,56,D+12.8,NY-25,6
86,,54,—,NY-26,7
87,,54,—,CT-1,8
88,,53,—,VA-4,9
89,,52,—,PA-18,10
90,,72,—,MA-4,1
91,,71,—,MA-6,2
92,,65,—,NY-17,3
93,,63,—,MA-3,4
94,,63,—,MA-5,5
95,,59,—,RI-1,6
96,,59,—,CT-3,7
97,,59,—,NJ-12,8
98,,56,—,CT-4,9
99,,56,—,CT-1,10
